filename,ground_truth_text
sentence_1.wav,"Ο ήλιος δύει πίσω από τα βουνά, βάφοντας τον ουρανό κόκκινο."
sentence_2.wav,"Η γάτα κοιμόταν ήσυχα στη ζεστή γωνιά του σπιτιού."
sentence_3.wav,"Πώς θα μπορούσα να φτάσω στον σταθμό των τρένων γρήγορα;"
sentence_4.wav,"Τα παιδιά έτρεχαν χαρούμενα στην παραλία, παίζοντας με την άμμο."
sentence_5.wav,"Μια λεπτή γραμμή χωρίζει τη φαντασία από την πραγματικότητα."
sentence_6.wav,"Ο δάσκαλος εξήγησε την άσκηση με απλά λόγια, ώστε να την καταλάβουν όλοι."
sentence_7.wav,"Το ρολόι του τοίχου χτύπησε δώδεκα, ανακοινώνοντας το μεσημέρι."
sentence_8.wav,"Είδα ένα πολύχρωμο ουράνιο τόξο μετά τη δυνατή καταιγίδα."
sentence_9.wav,"Το βιβλίο που διάβασα χθες ήταν γεμάτο συναρπαστικές ιστορίες."
sentence_10.wav,"Μην ξεχάσεις να φέρεις την ομπρέλα σου, γιατί ο καιρός είναι απρόβλεπτος."
2sentence_11.wav,"Ναι, εσύ που διαβάζεις τώρα αυτές τις λέξεις."
2sentence_12.wav,"Όπως όλοι οι παλιοί εαυτοί που σέβονται τον εαυτό τους."
2sentence_13.wav,"Και μάντεψε πόσοι κύκλοι χρειάζονται για να σχηματίσουν μια μουτζούρα."
2sentence_14.wav,"Τώρα που βρήκα τον προορισμό, ξέρω πως ό,τι κι αν γίνει, θα φτάσω."
2sentence_15.wav,"Δίνω χρόνο στην απόλαυση μονάχα"
2sentence_16.wav,"Εκείνη την ημέρα προορισμός μου έγινε ή κάθε στιγμή μέχρι αυτόν."
2sentence_17.wav,"Μοιάζει σαν κάποιος να μου το υπαγόρευσε."
2sentence_18.wav,"Οι ιστορίες οι οποίες διηγείται ο Αλκίνοος βασίζονται επίσης στην αλήθεια."
2sentence_19.wav,"Εσύ, αλήθεια, σε ποιο ποσοστό θα ήθελες να ανήκεις."
2sentence_20.wav,"Όπως και κατά πάσα πιθανότητα ούτε κι εσύ."
